,Solar Energy (kWh),Inverter 1 Energy (kWh),Inverter 2 Energy (kWh),Daylength in decimal hours,Billing Period Duration,Billing Period Start,Billing Period End,Net Usage,Net Generation,Billable kWh,Customer Charge,Usage Charge per kWh,Usage Charge,Subtotal after Adjustments,Non-Renewable Adjustment per kWh,Renewable Adjustment per kWh,Total Adjustment per kWh,Public Benefits Charge per KwH,Public Benefits Charge,California Energy Surcharge per KwH,California Energy Surcharge,Total Charge
0,590.1999999999999,282.19999999999993,307.8,312.0800000000001,30 days,11/17/2021,12/17/2021,1262,139,1123,9.6,0.1169,131.28,189.39,0.0218,0.0214,0.0432,0.0285,5.4,0.0003,0.34,195.13
1,366.79999999999995,77.1,289.7,330.71999999999997,32 days,12/18/2021,1/19/2022,2090,44,2046,9.6,0.1169,239.18,337.16,0.0215,0.0217,0.0432,0.0285,9.61,0.0003,0.61,347.39
2,738.0,355.5,382.6000000000001,298.36999999999995,27 days,1/20/2022,2/16/2022,1092,263,829,9.6,0.1169,96.91,142.32,0.0218,0.0214,0.0432,0.0285,4.06,0.0003,0.25,146.63
3,1280.5,608.4,672.0999999999999,384.34999999999997,32 days,2/17/2022,3/21/2022,834,674,160,9.6,0.1169,18.7,35.22,0.0227,0.0205,0.0432,0.0285,1.0,0.0003,0.05,36.27
4,1323.8000000000002,641.0,682.7,369.09,28 days,3/22/2022,4/19/2022,1068,595,473,9.6,0.1169,55.29,85.33,0.0239,0.0193,0.0432,0.0285,2.43,0.0003,0.14,87.9
5,1511.0,736.2,775.1999999999999,395.73,28 days,4/20/2022,5/18/2022,1027,675,352,9.6,0.1169,41.15,60.15,0.0086,0.0181,0.0267,0.0285,1.71,0.0003,0.11,61.97
6,1546.6000000000001,751.9999999999999,794.7999999999998,427.9999999999999,29 days,5/19/2022,6/17/2022,1380,498,882,9.6,0.1169,103.11,129.2,0.0015,0.0172,0.0187,0.0285,3.68,0.0003,0.26,133.15
7,1594.6999999999998,775.0,819.6,457.76,31 days,6/18/2022,7/19/2022,1808,398,1410,9.6,0.1169,164.83,200.8,0.0028,0.0159,0.0187,0.0285,5.72,0.0003,0.42,206.94
8,1123.7,547.8000000000001,576.0,384.64,27 days,7/20/2022,8/16/2022,1700,252,1448,9.6,0.1169,169.27,205.95,0.0057,0.013,0.0187,0.0285,5.87,0.0003,0.43,212.25
9,1108.3,622.9000000000001,485.19999999999993,434.57000000000005,33 days,8/17/2022,9/19/2022,1973,318,1655,9.6,0.1169,193.47,252.72,0.0202,0.0098,0.03,0.0285,7.2,0.0003,0.5,260.42
10,482.49999999999994,482.49999999999994,0.0,328.13,27 days,9/20/2022,10/17/2022,922,265,657,9.6,0.1169,76.8,117.28,0.0403,0.0067,0.047,0.0285,3.34,0.0003,0.2,120.82
11,285.4,285.4,0.0,333.53,30 days,10/18/2022,11/17/2022,1225,110,1115,9.6,0.1169,130.34,193.02,0.0433,0.0043,0.0476,0.0285,5.5,0.0003,0.33,198.85
